HTTP/1.1 200 OK
Content-Security-Policy: default-src 'none'; base-uri 'none'; frame-ancestors 'none'; form-action 'none'; sandbox;
X-Content-Type-Options: nosniff
X-Frame-Options: DENY
Cross-Origin-Embedder-Policy: require-corp
Cross-Origin-Opener-Policy: same-origin
Cross-Origin-Resource-Policy: same-origin
cache-control: no-cache
connection: keep-alive
content-type: text/event-stream
mcp-session-id: fcd75454-28bc-40ae-9651-d7e9e77c05b0
content-length: 19461
Date: Thu, 27 Aug 2026 11:11:19 GMT

